Date,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha
20200517,03:21 AM,05:00 AM,11:52 AM,03:29 PM,06:43 PM,08:11 PM
20200518,03:20 AM,05:00 AM,11:52 AM,03:29 PM,06:43 PM,08:12 PM
20200519,03:19 AM,04:59 AM,11:52 AM,03:29 PM,06:44 PM,08:13 PM
20200520,03:18 AM,04:58 AM,11:52 AM,03:29 PM,06:45 PM,08:14 PM
20200521,03:17 AM,04:58 AM,11:52 AM,03:29 PM,06:45 PM,08:15 PM
20200522,03:17 AM,04:57 AM,11:52 AM,03:29 PM,06:46 PM,08:16 PM
20200523,03:16 AM,04:57 AM,11:52 AM,03:29 PM,06:47 PM,08:16 PM
20200524,03:15 AM,04:57 AM,11:52 AM,03:29 PM,06:47 PM,08:17 PM
20200525,03:15 AM,04:56 AM,11:52 AM,03:29 PM,06:48 PM,08:18 PM
20200526,03:14 AM,04:56 AM,11:52 AM,03:29 PM,06:48 PM,08:19 PM
20200527,03:13 AM,04:55 AM,11:52 AM,03:29 PM,06:49 PM,08:20 PM
20200528,03:13 AM,04:55 AM,11:53 AM,03:29 PM,06:50 PM,08:20 PM
20200529,03:12 AM,04:55 AM,11:53 AM,03:29 PM,06:50 PM,08:21 PM
20200530,03:12 AM,04:54 AM,11:53 AM,03:29 PM,06:51 PM,08:22 PM
20200531,03:11 AM,04:54 AM,11:53 AM,03:29 PM,06:51 PM,08:23 PM
20200601,03:11 AM,04:54 AM,11:53 AM,03:29 PM,06:52 PM,08:23 PM
20200602,03:10 AM,04:54 AM,11:53 AM,03:29 PM,06:52 PM,08:24 PM
20200603,03:10 AM,04:53 AM,11:53 AM,03:30 PM,06:53 PM,08:25 PM
20200604,03:09 AM,04:53 AM,11:54 AM,03:30 PM,06:53 PM,08:26 PM
20200605,03:09 AM,04:53 AM,11:54 AM,03:30 PM,06:54 PM,08:26 PM
20200606,03:09 AM,04:53 AM,11:54 AM,03:30 PM,06:54 PM,08:27 PM
20200607,03:09 AM,04:53 AM,11:54 AM,03:30 PM,06:55 PM,08:27 PM
20200608,03:08 AM,04:53 AM,11:54 AM,03:30 PM,06:55 PM,08:28 PM
20200609,03:08 AM,04:53 AM,11:55 AM,03:30 PM,06:56 PM,08:29 PM
20200610,03:08 AM,04:53 AM,11:55 AM,03:30 PM,06:56 PM,08:29 PM
20200611,03:08 AM,04:53 AM,11:55 AM,03:31 PM,06:56 PM,08:30 PM
20200612,03:08 AM,04:53 AM,11:55 AM,03:31 PM,06:57 PM,08:30 PM
20200613,03:08 AM,04:53 AM,11:55 AM,03:31 PM,06:57 PM,08:31 PM
20200614,03:08 AM,04:53 AM,11:56 AM,03:31 PM,06:58 PM,08:31 PM
20200615,03:08 AM,04:53 AM,11:56 AM,03:31 PM,06:58 PM,08:31 PM
20200616,03:08 AM,04:53 AM,11:56 AM,03:32 PM,06:58 PM,08:32 PM
20200617,03:08 AM,04:53 AM,11:56 AM,03:32 PM,06:59 PM,08:32 PM
20200618,03:08 AM,04:53 AM,11:56 AM,03:32 PM,06:59 PM,08:32 PM
20200619,03:08 AM,04:53 AM,11:57 AM,03:32 PM,06:59 PM,08:33 PM
20200620,03:08 AM,04:53 AM,11:57 AM,03:32 PM,06:59 PM,08:33 PM
20200621,03:08 AM,04:53 AM,11:57 AM,03:33 PM,07:00 PM,08:33 PM
20200622,03:09 AM,04:54 AM,11:57 AM,03:33 PM,07:00 PM,08:33 PM
20200623,03:09 AM,04:54 AM,11:57 AM,03:33 PM,07:00 PM,08:34 PM
20200624,03:09 AM,04:54 AM,11:58 AM,03:33 PM,07:00 PM,08:34 PM
20200625,03:09 AM,04:54 AM,11:58 AM,03:34 PM,07:00 PM,08:34 PM
20200626,03:10 AM,04:55 AM,11:58 AM,03:34 PM,07:00 PM,08:34 PM
20200627,03:10 AM,04:55 AM,11:58 AM,03:34 PM,07:01 PM,08:34 PM
20200628,03:11 AM,04:55 AM,11:59 AM,03:34 PM,07:01 PM,08:34 PM
20200629,03:11 AM,04:56 AM,11:59 AM,03:34 PM,07:01 PM,08:34 PM
20200630,03:12 AM,04:56 AM,11:59 AM,03:35 PM,07:01 PM,08:34 PM
20200701,03:12 AM,04:56 AM,11:59 AM,03:35 PM,07:01 PM,08:34 PM
20200702,03:13 AM,04:57 AM,11:59 AM,03:35 PM,07:01 PM,08:34 PM
20200703,03:13 AM,04:57 AM,12:00 PM,03:35 PM,07:01 PM,08:34 PM
20200704,03:14 AM,04:58 AM,12:00 PM,03:36 PM,07:01 PM,08:33 PM
20200705,03:14 AM,04:58 AM,12:00 PM,03:36 PM,07:01 PM,08:33 PM
20200706,03:15 AM,04:59 AM,12:00 PM,03:36 PM,07:00 PM,08:33 PM
20200707,03:16 AM,04:59 AM,12:00 PM,03:36 PM,07:00 PM,08:33 PM
20200708,03:16 AM,04:59 AM,12:00 PM,03:36 PM,07:00 PM,08:32 PM
20200709,03:17 AM,05:00 AM,12:01 PM,03:37 PM,07:00 PM,08:32 PM
20200710,03:18 AM,05:00 AM,12:01 PM,03:37 PM,07:00 PM,08:32 PM
20200711,03:18 AM,05:01 AM,12:01 PM,03:37 PM,07:00 PM,08:31 PM
20200712,03:19 AM,05:01 AM,12:01 PM,03:37 PM,06:59 PM,08:31 PM
20200713,03:20 AM,05:02 AM,12:01 PM,03:37 PM,06:59 PM,08:30 PM
20200714,03:21 AM,05:02 AM,12:01 PM,03:38 PM,06:59 PM,08:30 PM
20200715,03:21 AM,05:03 AM,12:01 PM,03:38 PM,06:58 PM,08:29 PM
20200716,03:22 AM,05:03 AM,12:01 PM,03:38 PM,06:58 PM,08:29 PM
20200717,03:23 AM,05:04 AM,12:01 PM,03:38 PM,06:58 PM,08:28 PM
20200718,03:24 AM,05:05 AM,12:02 PM,03:38 PM,06:57 PM,08:27 PM
20200719,03:25 AM,05:05 AM,12:02 PM,03:38 PM,06:57 PM,08:27 PM
20200720,03:25 AM,05:06 AM,12:02 PM,03:38 PM,06:56 PM,08:26 PM
20200721,03:26 AM,05:06 AM,12:02 PM,03:38 PM,06:56 PM,08:25 PM
20200722,03:27 AM,05:07 AM,12:02 PM,03:39 PM,06:55 PM,08:25 PM
20200723,03:28 AM,05:07 AM,12:02 PM,03:39 PM,06:55 PM,08:24 PM
20200724,03:29 AM,05:08 AM,12:02 PM,03:39 PM,06:54 PM,08:23 PM
20200725,03:30 AM,05:09 AM,12:02 PM,03:39 PM,06:54 PM,08:22 PM
20200726,03:31 AM,05:09 AM,12:02 PM,03:39 PM,06:53 PM,08:22 PM
20200727,03:32 AM,05:10 AM,12:02 PM,03:39 PM,06:53 PM,08:21 PM
20200728,03:33 AM,05:10 AM,12:02 PM,03:39 PM,06:52 PM,08:20 PM
20200729,03:33 AM,05:11 AM,12:02 PM,03:39 PM,06:51 PM,08:19 PM
20200730,03:34 AM,05:12 AM,12:02 PM,03:39 PM,06:51 PM,08:18 PM
20200731,03:35 AM,05:12 AM,12:02 PM,03:39 PM,06:50 PM,08:17 PM
20200801,03:36 AM,05:13 AM,12:02 PM,03:39 PM,06:49 PM,08:16 PM
20200802,03:37 AM,05:13 AM,12:02 PM,03:39 PM,06:49 PM,08:15 PM
20200803,03:38 AM,05:14 AM,12:02 PM,03:39 PM,06:48 PM,08:14 PM
20200804,03:39 AM,05:15 AM,12:02 PM,03:39 PM,06:47 PM,08:13 PM
20200805,03:40 AM,05:15 AM,12:01 PM,03:38 PM,06:46 PM,08:12 PM
20200806,03:41 AM,05:16 AM,12:01 PM,03:38 PM,06:45 PM,08:11 PM
20200807,03:42 AM,05:16 AM,12:01 PM,03:38 PM,06:45 PM,08:10 PM
20200808,03:43 AM,05:17 AM,12:01 PM,03:38 PM,06:44 PM,08:09 PM
20200809,03:43 AM,05:18 AM,12:01 PM,03:38 PM,06:43 PM,08:08 PM
20200810,03:44 AM,05:18 AM,12:01 PM,03:38 PM,06:42 PM,08:07 PM
20200811,03:45 AM,05:19 AM,12:01 PM,03:37 PM,06:41 PM,08:05 PM
20200812,03:46 AM,05:19 AM,12:01 PM,03:37 PM,06:40 PM,08:04 PM
20200813,03:47 AM,05:20 AM,12:00 PM,03:37 PM,06:39 PM,08:03 PM
20200814,03:48 AM,05:21 AM,12:00 PM,03:37 PM,06:38 PM,08:02 PM
20200815,03:49 AM,05:21 AM,12:00 PM,03:36 PM,06:37 PM,08:01 PM
20200816,03:50 AM,05:22 AM,12:00 PM,03:36 PM,06:36 PM,07:59 PM
20200817,03:50 AM,05:22 AM,12:00 PM,03:36 PM,06:35 PM,07:58 PM
20200818,03:51 AM,05:23 AM,11:59 AM,03:36 PM,06:34 PM,07:57 PM
20200819,03:52 AM,05:24 AM,11:59 AM,03:35 PM,06:33 PM,07:56 PM
20200820,03:53 AM,05:24 AM,11:59 AM,03:35 PM,06:32 PM,07:54 PM
20200821,03:54 AM,05:25 AM,11:59 AM,03:35 PM,06:31 PM,07:53 PM
20200822,03:55 AM,05:25 AM,11:58 AM,03:34 PM,06:30 PM,07:52 PM
20200823,03:56 AM,05:26 AM,11:58 AM,03:34 PM,06:29 PM,07:51 PM
20200824,03:56 AM,05:26 AM,11:58 AM,03:33 PM,06:28 PM,07:49 PM
20200825,03:57 AM,05:27 AM,11:58 AM,03:33 PM,06:27 PM,07:48 PM
20200826,03:58 AM,05:28 AM,11:57 AM,03:33 PM,06:26 PM,07:47 PM
20200827,03:59 AM,05:28 AM,11:57 AM,03:32 PM,06:25 PM,07:45 PM
20200828,03:59 AM,05:29 AM,11:57 AM,03:32 PM,06:23 PM,07:44 PM
20200829,04:00 AM,05:29 AM,11:56 AM,03:31 PM,06:22 PM,07:43 PM
20200830,04:01 AM,05:30 AM,11:56 AM,03:31 PM,06:21 PM,07:41 PM
20200831,04:02 AM,05:30 AM,11:56 AM,03:30 PM,06:20 PM,07:40 PM
20200901,04:03 AM,05:31 AM,11:56 AM,03:30 PM,06:19 PM,07:39 PM
20200902,04:03 AM,05:31 AM,11:55 AM,03:29 PM,06:18 PM,07:37 PM
20200903,04:04 AM,05:32 AM,11:55 AM,03:29 PM,06:16 PM,07:36 PM
20200904,04:05 AM,05:33 AM,11:55 AM,03:28 PM,06:15 PM,07:35 PM
20200905,04:06 AM,05:33 AM,11:54 AM,03:27 PM,06:14 PM,07:33 PM
20200906,04:06 AM,05:34 AM,11:54 AM,03:27 PM,06:13 PM,07:32 PM
20200907,04:07 AM,05:34 AM,11:54 AM,03:26 PM,06:12 PM,07:30 PM
20200908,04:08 AM,05:35 AM,11:53 AM,03:26 PM,06:10 PM,07:29 PM
20200909,04:08 AM,05:35 AM,11:53 AM,03:25 PM,06:09 PM,07:28 PM
20200910,04:09 AM,05:36 AM,11:53 AM,03:24 PM,06:08 PM,07:26 PM
20200911,04:10 AM,05:36 AM,11:52 AM,03:24 PM,06:07 PM,07:25 PM
20200912,04:10 AM,05:37 AM,11:52 AM,03:23 PM,06:05 PM,07:24 PM
20200913,04:11 AM,05:37 AM,11:51 AM,03:22 PM,06:04 PM,07:22 PM
20200914,04:12 AM,05:38 AM,11:51 AM,03:22 PM,06:03 PM,07:21 PM
20200915,04:12 AM,05:38 AM,11:51 AM,03:21 PM,06:02 PM,07:20 PM
20200916,04:13 AM,05:39 AM,11:50 AM,03:20 PM,06:00 PM,07:18 PM
20200917,04:14 AM,05:40 AM,11:50 AM,03:19 PM,05:59 PM,07:17 PM
20200918,04:14 AM,05:40 AM,11:50 AM,03:19 PM,05:58 PM,07:16 PM
20200919,04:15 AM,05:41 AM,11:49 AM,03:18 PM,05:57 PM,07:14 PM
20200920,04:16 AM,05:41 AM,11:49 AM,03:17 PM,05:55 PM,07:13 PM
20200921,04:16 AM,05:42 AM,11:49 AM,03:17 PM,05:54 PM,07:12 PM
20200922,04:17 AM,05:42 AM,11:48 AM,03:16 PM,05:53 PM,07:10 PM
20200923,04:18 AM,05:43 AM,11:48 AM,03:15 PM,05:52 PM,07:09 PM
20200924,04:18 AM,05:43 AM,11:48 AM,03:14 PM,05:50 PM,07:08 PM
20200925,04:19 AM,05:44 AM,11:47 AM,03:14 PM,05:49 PM,07:06 PM
20200926,04:19 AM,05:45 AM,11:47 AM,03:13 PM,05:48 PM,07:05 PM
20200927,04:20 AM,05:45 AM,11:47 AM,03:12 PM,05:47 PM,07:04 PM
20200928,04:21 AM,05:46 AM,11:46 AM,03:11 PM,05:45 PM,07:02 PM
20200929,04:21 AM,05:46 AM,11:46 AM,03:10 PM,05:44 PM,07:01 PM
20200930,04:22 AM,05:47 AM,11:46 AM,03:10 PM,05:43 PM,07:00 PM
20201001,04:22 AM,05:47 AM,11:45 AM,03:09 PM,05:42 PM,06:59 PM
20201002,04:23 AM,05:48 AM,11:45 AM,03:08 PM,05:40 PM,06:57 PM
20201003,04:24 AM,05:48 AM,11:45 AM,03:07 PM,05:39 PM,06:56 PM
20201004,04:24 AM,05:49 AM,11:44 AM,03:06 PM,05:38 PM,06:55 PM
20201005,04:25 AM,05:50 AM,11:44 AM,03:06 PM,05:37 PM,06:54 PM
20201006,04:25 AM,05:50 AM,11:44 AM,03:05 PM,05:36 PM,06:53 PM
20201007,04:26 AM,05:51 AM,11:43 AM,03:04 PM,05:34 PM,06:51 PM
20201008,04:27 AM,05:51 AM,11:43 AM,03:03 PM,05:33 PM,06:50 PM
20201009,04:27 AM,05:52 AM,11:43 AM,03:02 PM,05:32 PM,06:49 PM
20201010,04:28 AM,05:53 AM,11:43 AM,03:02 PM,05:31 PM,06:48 PM
20201011,04:28 AM,05:53 AM,11:42 AM,03:01 PM,05:30 PM,06:47 PM
20201012,04:29 AM,05:54 AM,11:42 AM,03:00 PM,05:29 PM,06:46 PM
20201013,04:30 AM,05:55 AM,11:42 AM,02:59 PM,05:28 PM,06:45 PM
20201014,04:30 AM,05:55 AM,11:42 AM,02:58 PM,05:26 PM,06:44 PM
20201015,04:31 AM,05:56 AM,11:41 AM,02:58 PM,05:25 PM,06:43 PM
20201016,04:31 AM,05:56 AM,11:41 AM,02:57 PM,05:24 PM,06:41 PM
20201017,04:32 AM,05:57 AM,11:41 AM,02:56 PM,05:23 PM,06:40 PM
20201018,04:33 AM,05:58 AM,11:41 AM,02:55 PM,05:22 PM,06:39 PM
20201019,04:33 AM,05:58 AM,11:40 AM,02:55 PM,05:21 PM,06:38 PM
20201020,04:34 AM,05:59 AM,11:40 AM,02:54 PM,05:20 PM,06:37 PM
20201021,04:34 AM,06:00 AM,11:40 AM,02:53 PM,05:19 PM,06:37 PM
20201022,04:35 AM,06:01 AM,11:40 AM,02:52 PM,05:18 PM,06:36 PM
20201023,04:36 AM,06:01 AM,11:40 AM,02:52 PM,05:17 PM,06:35 PM
20201024,04:36 AM,06:02 AM,11:40 AM,02:51 PM,05:16 PM,06:34 PM
20201025,04:37 AM,06:03 AM,11:40 AM,02:50 PM,05:15 PM,06:33 PM
20201026,04:38 AM,06:03 AM,11:39 AM,02:49 PM,05:14 PM,06:32 PM
20201027,04:38 AM,06:04 AM,11:39 AM,02:49 PM,05:13 PM,06:31 PM
20201028,04:39 AM,06:05 AM,11:39 AM,02:48 PM,05:12 PM,06:30 PM
